date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-04-10,0,0,0,0,0,0,0,0,0.00,-1.00%,0.00%,NaN%,0,0
2018-05-09,0,63,1,20,2,0,15,101,9.78,7.84%,87.99%,53.83%,45091,685
2018-06-08,0,100,1,24,3,0,18,146,10.00,7.07%,88.73%,49.75%,56840,835
2018-07-07,0,99,1,23,3,0,18,144,10.00,6.91%,89.12%,53.68%,57987,858
2018-08-07,0,99,1,23,3,0,18,144,10.00,6.91%,89.12%,53.70%,58212,863
2018-09-07,0,100,1,25,3,0,19,148,10.00,6.70%,89.46%,53.35%,61354,912
2018-10-08,0,100,1,25,3,0,18,147,10.00,6.65%,89.50%,53.68%,61747,919
2018-11-22,0,101,1,25,4,0,18,149,10.00,6.65%,89.54%,53.64%,61853,923
2018-12-28,0,103,1,27,5,0,20,156,11.00,6.43%,89.88%,62.01%,63413,966
2019-01-28,0,103,1,29,5,0,21,159,10.00,6.19%,90.07%,62.24%,65211,995
2019-02-27,0,105,1,29,5,0,21,161,11.00,6.16%,90.17%,62.27%,65853,1005
2019-04-09,0,105,1,28,5,0,21,160,11.00,6.18%,90.20%,62.05%,66098,1012
2019-05-10,0,105,1,29,5,0,21,161,11.00,6.15%,90.27%,62.10%,67891,1025
2019-06-11,0,105,1,29,5,0,21,161,11.00,6.12%,90.33%,62.36%,68540,1033
2019-07-26,0,106,1,30,5,0,20,162,11.00,6.22%,90.30%,61.97%,67800,1023
2019-08-30,0,106,1,30,5,0,20,162,11.00,6.22%,90.30%,61.97%,68067,1023
2019-10-07,0,106,1,30,5,0,20,162,11.00,6.20%,90.30%,61.99%,68548,1025
2019-11-06,0,106,1,30,5,0,20,162,11.00,6.20%,90.33%,61.97%,68697,1030
2019-12-05,0,106,1,30,5,0,20,162,11.00,6.12%,90.46%,62.86%,70385,1050
2020-02-18,0,106,1,30,5,0,20,162,11.00,6.11%,90.47%,60.83%,70424,1052
2020-04-14,0,108,1,33,5,0,20,167,10.00,5.91%,90.70%,60.17%,73611,1093
2020-05-15,0,111,1,34,5,0,21,172,10.00,5.80%,90.79%,60.29%,74113,1104
2020-06-22,0,113,1,37,5,0,20,176,10.00,5.62%,90.99%,60.26%,77105,1147
2020-08-01,0,114,1,37,5,0,21,178,10.00,5.60%,90.95%,60.13%,77273,1150
2020-09-24,0,114,1,37,5,0,21,178,10.00,5.60%,90.95%,60.21%,77273,1150
2020-12-09,0,116,1,37,6,0,21,181,10.00,5.57%,90.99%,60.31%,77719,1157
2021-01-07,0,116,1,37,6,0,21,181,10.00,5.57%,90.99%,NaN%,77719,1157
2021-02-05,0,116,1,37,6,0,21,181,10.00,5.55%,91.01%,60.34%,77756,1159
2021-03-25,0,116,1,37,6,0,21,181,10.00,5.55%,91.01%,60.34%,77756,1159
2021-05-07,0,116,1,37,6,0,21,181,10.00,5.55%,91.01%,60.34%,77756,1159
2021-06-29,0,116,1,37,6,0,21,181,10.00,5.55%,91.04%,60.35%,77959,1164
2021-08-24,0,116,1,37,6,0,21,181,10.00,5.55%,91.03%,60.33%,78138,1165
2021-10-08,0,116,1,38,6,0,21,182,10.00,5.53%,91.05%,60.35%,78453,1168
2021-11-10,0,116,1,38,6,0,21,182,10.00,5.57%,91.05%,60.16%,78833,1169
2021-12-10,0,116,1,38,6,0,21,182,10.00,5.57%,91.05%,60.30%,79090,1169
2022-01-10,0,116,1,38,6,0,21,182,10.00,5.51%,91.14%,60.57%,79394,1173
2022-02-08,0,116,1,38,6,0,21,182,10.00,5.51%,91.15%,60.81%,79449,1174
2022-03-11,0,116,1,37,6,0,21,181,10.00,5.48%,91.24%,61.03%,80535,1189
2022-04-22,0,116,1,38,6,0,21,182,10.00,5.39%,91.34%,62.29%,81174,1206
2022-06-07,0,116,1,38,6,0,21,182,10.00,5.39%,91.34%,62.29%,81210,1206
2022-07-19,0,116,1,39,6,0,21,183,10.00,5.37%,91.37%,62.60%,81256,1207
2022-08-24,0,116,1,40,6,0,21,184,10.00,5.35%,91.41%,66.80%,81811,1213
2022-09-25,0,116,1,40,6,0,21,184,10.00,5.29%,91.51%,66.90%,81984,1216
2022-10-25,0,118,1,40,6,0,22,187,10.00,5.18%,91.71%,66.93%,82357,1222
2022-12-07,0,118,1,40,6,0,22,187,10.00,5.18%,91.72%,66.94%,82617,1224
2023-01-05,0,119,1,41,6,0,22,189,10.00,5.18%,91.76%,66.96%,83455,1234
2023-02-27,0,119,1,41,6,0,22,189,10.00,5.16%,91.77%,66.96%,83799,1238
2023-04-10,0,119,1,41,6,0,22,189,10.00,5.16%,91.77%,66.96%,83864,1239
