date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-09,0,4,0,0,1,0,1,6,,,,26.31%,3753,32
2018-06-08,0,4,0,0,1,0,1,6,,,,26.14%,3756,32
2018-07-07,0,3,0,0,1,0,1,5,,,,26.30%,3759,32
2018-08-07,0,3,0,0,1,0,1,5,,,,26.30%,3759,32
2018-09-07,0,3,0,0,1,0,1,5,,,,31.74%,3945,36
2018-10-08,0,3,0,0,1,0,1,5,,,,31.74%,3945,36
2018-11-22,0,3,0,0,1,0,1,5,,,,31.74%,3945,36
2018-12-28,0,3,0,0,1,0,1,5,,,,31.55%,3955,36
2019-01-28,0,3,0,0,1,0,1,5,,,,31.55%,3955,36
2019-02-27,0,3,0,0,1,0,1,5,,,,31.55%,3955,36
2019-04-09,0,3,0,0,1,0,1,5,,,,31.56%,3955,36
2019-05-10,0,3,0,0,1,0,1,5,,,,31.56%,3955,36
2019-06-11,0,3,0,0,1,0,1,5,,,,32.72%,4024,36
2019-07-26,0,3,0,0,1,0,1,5,,,,32.47%,4042,36
2019-08-30,0,3,0,0,1,0,1,5,,,,32.45%,4044,36
2019-10-07,0,3,0,0,1,0,1,5,,,,32.45%,4044,36
2019-11-06,0,3,0,0,1,0,1,5,,,,32.45%,4044,36
2019-12-05,0,3,0,0,1,0,1,5,,,,30.90%,4013,36
2020-02-18,0,3,0,0,1,0,1,5,,,,30.90%,4017,36
2020-04-14,0,3,0,0,1,0,1,5,,,,29.98%,4071,36
2020-05-15,0,3,0,0,1,0,1,5,,,,30.03%,4073,36
2020-06-22,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2020-08-01,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2020-09-24,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2020-12-09,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2021-01-07,0,3,0,0,1,0,1,5,,,,,4079,36
2021-02-05,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2021-03-25,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2021-05-07,0,3,0,0,1,0,1,5,,,,30.13%,4079,36
2021-06-29,0,3,0,0,1,0,1,5,,,,30.09%,4090,36
2021-08-24,0,3,0,0,1,0,1,5,,,,30.09%,4090,36
2021-10-08,0,3,0,0,1,0,1,5,,,,30.08%,4095,36
2021-11-10,0,3,0,0,1,0,1,5,,,,29.75%,4131,36
2021-12-10,0,3,0,0,1,0,1,5,,,,29.75%,4131,36
2022-01-10,0,3,0,0,1,0,1,5,,,,29.74%,4131,36
2022-02-08,0,3,0,0,1,0,1,5,,,,29.74%,4131,36
2022-03-11,0,3,0,0,1,0,1,5,,,,30.40%,4179,37
2022-04-22,0,3,0,0,1,0,1,5,,,,30.40%,4179,37
2022-06-07,0,3,0,0,1,0,1,5,,,,30.40%,4179,37
2022-07-19,0,3,0,0,1,0,1,5,,,,30.40%,4179,37
2022-08-24,0,3,0,0,1,0,1,5,,,,30.82%,4216,37
2022-09-25,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
2022-10-25,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
2022-12-07,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
2023-01-05,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
2023-02-27,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
2023-04-10,0,3,0,0,1,0,1,5,,,,30.80%,4216,37
