date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-09,0,2,0,1,0,0,1,4,,,,44.10%,2139,22
2018-06-08,0,2,0,1,0,0,1,4,,,,55.25%,2049,21
2018-07-07,0,2,0,1,0,0,1,4,,,,83.04%,2158,22
2018-08-07,0,2,0,1,0,0,1,4,,,,83.04%,2158,22
2018-09-07,0,2,0,1,0,0,1,4,,,,83.04%,2168,22
2018-10-08,0,2,0,1,0,0,1,4,,,,83.04%,2168,22
2018-11-22,0,2,0,1,0,0,1,4,,,,83.04%,2168,22
2018-12-28,0,2,0,1,0,0,1,4,,,,83.00%,2202,22
2019-01-28,0,2,0,1,0,0,1,4,,,,83.00%,2207,22
2019-02-27,0,2,0,1,0,0,1,4,,,,83.75%,2277,22
2019-04-09,0,2,0,1,0,0,1,4,,,,83.75%,2277,22
2019-05-10,0,2,0,1,0,0,1,4,,,,83.99%,2277,22
2019-06-11,0,2,0,1,0,0,1,4,,,,83.75%,2286,22
2019-07-26,0,2,0,1,0,0,1,4,,,,83.63%,2297,22
2019-08-30,0,2,0,1,0,0,1,4,,,,83.63%,2297,22
2019-10-07,0,2,0,1,0,0,1,4,,,,83.63%,2297,22
2019-11-06,0,2,0,1,0,0,1,4,,,,83.63%,2297,22
2019-12-05,0,2,0,1,0,0,1,4,,,,83.63%,2305,22
2020-02-18,0,2,0,1,0,0,1,4,,,,83.63%,2306,22
2020-04-14,0,2,0,1,0,0,1,4,,,,83.53%,2310,23
2020-05-15,0,2,0,1,0,0,1,4,,,,83.80%,2303,23
2020-06-22,0,2,0,1,0,0,1,4,,,,83.80%,2303,23
2020-08-01,0,2,0,1,0,0,1,4,,,,83.80%,2308,23
2020-09-24,0,2,0,1,0,0,1,4,,,,83.80%,2308,23
2020-12-09,0,2,0,1,0,0,1,4,,,,83.80%,2327,24
2021-01-07,0,2,0,1,0,0,1,4,,,,,2327,24
2021-02-05,0,2,0,1,0,0,1,4,,,,83.80%,2342,25
2021-03-25,0,2,0,1,0,0,1,4,,,,84.03%,2342,25
2021-05-07,0,2,0,1,0,0,1,4,,,,83.80%,2342,25
2021-06-29,0,2,0,1,0,0,1,4,,,,83.80%,2342,25
2021-08-24,0,2,0,1,0,0,1,4,,,,84.03%,2342,25
2021-10-08,0,2,0,1,0,0,1,4,,,,84.03%,2342,25
2021-11-10,0,2,0,1,0,0,1,4,,,,83.80%,2461,25
2021-12-10,0,2,0,1,0,0,1,4,,,,83.80%,2466,25
2022-01-10,0,2,0,1,0,0,1,4,,,,83.74%,2466,25
2022-02-08,0,2,0,1,0,0,1,4,,,,83.74%,2466,25
2022-03-11,0,2,0,1,0,0,1,4,,,,83.98%,2466,25
2022-04-22,0,2,0,1,0,0,1,4,,,,83.74%,2471,25
2022-06-07,0,2,0,1,0,0,1,4,,,,83.74%,2471,25
2022-07-19,0,2,0,1,0,0,1,4,,,,83.74%,2471,25
2022-08-24,0,2,0,1,0,0,1,4,,,,83.74%,2479,25
2022-09-25,0,2,0,1,0,0,1,4,,,,83.98%,2483,25
2022-10-25,0,2,0,1,0,0,1,4,,,,83.74%,2483,25
2022-12-07,0,2,0,1,0,0,1,4,,,,83.98%,2488,25
2023-01-05,0,2,0,1,0,0,1,4,,,,83.74%,2488,25
2023-02-27,0,2,0,1,0,0,1,4,,,,83.74%,2488,25
2023-04-10,0,2,0,1,0,0,1,4,,,,83.74%,2488,25
