date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-09,0,2,0,1,1,0,1,5,,,,75.65%,4333,66
2018-06-08,0,2,0,1,1,0,1,5,,,,76.55%,4493,67
2018-07-07,0,2,0,1,1,0,1,5,,,,76.55%,4493,67
2018-08-07,0,2,0,1,1,0,1,5,,,,76.55%,4493,67
2018-09-07,0,2,0,1,1,0,1,5,,,,76.59%,4518,67
2018-10-08,0,2,0,1,1,0,1,5,,,,79.23%,4601,67
2018-11-22,0,2,0,1,1,0,1,5,,,,79.23%,4601,67
2018-12-28,0,2,0,1,1,0,1,5,,,,77.90%,4641,68
2019-01-28,0,2,0,1,1,0,1,5,,,,77.90%,4641,68
2019-02-27,0,2,0,1,1,0,1,5,,,,77.90%,4641,68
2019-04-09,0,2,0,1,1,0,1,5,,,,77.91%,4641,68
2019-05-10,0,2,0,1,1,0,1,5,,,,77.52%,4661,68
2019-06-11,0,2,0,1,1,0,1,5,,,,77.52%,4661,68
2019-07-26,0,2,0,1,1,0,1,5,,,,77.52%,4681,69
2019-08-30,0,2,0,1,1,0,1,5,,,,77.52%,4681,69
2019-10-07,0,2,0,1,1,0,1,5,,,,77.52%,4681,69
2019-11-06,0,2,0,1,1,0,1,5,,,,77.52%,4681,69
2019-12-05,0,2,0,1,1,0,1,5,,,,77.81%,4681,69
2020-02-18,0,2,0,1,1,0,1,5,,,,77.52%,4681,69
2020-04-14,0,2,0,1,1,0,1,5,,,,76.49%,4726,69
2020-05-15,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2020-06-22,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2020-08-01,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2020-09-24,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2020-12-09,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-01-07,0,2,0,1,1,0,1,5,,,,,4726,69
2021-02-05,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-03-25,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-05-07,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-06-29,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-08-24,0,2,0,1,1,0,1,5,,,,76.63%,4726,69
2021-10-08,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2021-11-10,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2021-12-10,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2022-01-10,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2022-02-08,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2022-03-11,0,2,0,1,1,0,1,5,,,,76.14%,4748,69
2022-04-22,0,2,0,1,1,0,1,5,,,,76.26%,4781,71
2022-06-07,0,2,0,1,1,0,1,5,,,,76.26%,4781,71
2022-07-19,0,2,0,1,1,0,1,5,,,,76.26%,4781,71
2022-08-24,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2022-09-25,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2022-10-25,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2022-12-07,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2023-01-05,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2023-02-27,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
2023-04-10,0,2,0,1,1,0,1,5,,,,76.51%,4781,71
