date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-04-14,0,0,0,0,0,0,0,0,,,,,44,2
2020-05-15,0,0,0,0,0,0,0,0,,,,,44,2
2020-06-22,0,0,0,0,0,0,0,0,,,,,44,2
2020-08-01,0,0,0,0,0,0,0,0,,,,,44,2
2020-09-24,0,0,0,0,0,0,0,0,,,,,44,2
2020-12-09,0,0,0,0,0,0,0,0,,,,,44,2
2021-01-07,0,0,0,0,0,0,0,0,,,,,44,2
2021-02-05,0,0,0,0,0,0,0,0,,,,,44,2
2021-03-25,0,0,0,0,0,0,0,0,,,,,44,2
2021-05-07,0,0,0,0,0,0,0,0,,,,,44,2
2021-06-29,0,0,0,0,0,0,0,0,,,,,44,2
2021-08-24,0,0,0,0,0,0,0,0,,,,,44,2
2021-10-08,0,0,0,0,0,0,0,0,,,,,44,2
2021-11-10,0,0,0,0,0,0,0,0,,,,,44,2
2021-12-10,0,0,0,0,0,0,0,0,,,,,44,2
2022-01-10,0,0,0,0,0,0,0,0,,,,,44,2
2022-02-08,0,0,0,0,0,0,0,0,,,,,44,2
2022-03-11,0,0,0,0,0,0,0,0,,,,,44,2
2022-04-22,0,0,0,0,0,0,0,0,,,,,44,2
2022-06-07,0,0,0,0,0,0,0,0,,,,,44,2
2022-07-19,0,0,0,0,0,0,0,0,,,,,44,2
2022-08-24,0,0,0,0,0,0,0,0,,,,,44,2
2022-09-25,0,0,0,0,0,0,0,0,,,,,44,2
2022-10-25,0,0,0,0,0,0,0,0,,,,,44,2
2022-12-07,0,0,0,0,0,0,0,0,,,,,44,2
2023-01-05,0,0,0,0,0,0,0,0,,,,,44,2
2023-02-27,0,0,0,0,0,0,0,0,,,,,44,2
2023-04-10,0,0,0,0,0,0,0,0,,,,,44,2
