date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-03-19,0,0,0,0,0,0,0,0,,,,,84,1
2020-05-06,0,0,0,0,0,0,0,0,,,,,84,1
2020-07-04,0,0,0,0,0,0,0,0,,,,,84,1
2020-09-25,0,0,0,0,0,0,0,0,,,,,84,1
2020-11-21,0,0,0,0,0,0,0,0,,,,,84,1
2020-12-31,0,0,0,0,0,0,0,0,,,,,84,1
2021-03-05,0,0,0,0,0,0,0,0,,,,,84,1
2021-04-07,0,0,0,0,0,0,0,0,,,,,84,1
2021-05-12,0,0,0,0,0,0,0,0,,,,,84,1
2021-06-10,0,0,0,0,0,0,0,0,,,,,84,1
2021-07-14,0,0,0,0,0,0,0,0,,,,,84,1
2021-09-14,0,0,0,0,0,0,0,0,,,,,84,1
2021-10-14,0,0,0,0,0,0,0,0,,,,,84,1
2021-12-14,0,0,0,0,0,0,0,0,,,,,84,1
2022-01-13,0,0,0,0,0,0,0,0,,,,,84,1
2022-02-14,0,0,0,0,0,0,0,0,,,,,84,1
2022-03-15,0,0,0,0,0,0,0,0,,,,,84,1
2022-04-24,0,0,0,0,0,0,0,0,,,,,84,1
