date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-21,0,0,0,2,0,1,0,3,0.00,13.99%,82.66%,79.31%,1150,46
2018-10-29,0,7,0,5,2,6,3,23,0.00,8.55%,89.94%,82.93%,4380,149
2018-11-28,0,7,0,5,2,0,3,17,0.00,14.05%,76.24%,83.00%,4397,150
2019-05-05,0,7,0,5,2,0,3,17,0.00,14.06%,76.45%,62.83%,4634,150
2019-06-05,0,10,0,5,1,0,3,19,0.00,13.65%,76.84%,84.74%,4693,150
2019-09-06,0,10,0,5,1,0,3,19,0.00,13.65%,76.84%,84.74%,4693,150
2019-12-04,0,8,0,5,1,6,3,23,0.00,14.01%,76.12%,84.91%,5029,161
2020-01-10,0,10,0,5,1,0,2,18,0.00,14.01%,76.12%,84.91%,5029,161
2020-02-09,0,16,0,6,3,0,4,29,0.00,11.60%,76.49%,56.79%,7157,235
2020-03-19,0,19,0,7,4,0,5,35,0.00,6.83%,82.60%,59.66%,9967,296
2020-05-06,0,15,0,7,5,7,6,40,0.00,6.83%,82.60%,59.66%,11090,319
2020-07-04,0,19,0,7,4,0,5,35,0.00,6.83%,82.60%,59.66%,9967,296
2020-09-25,0,19,0,7,4,0,5,35,0.00,6.83%,82.60%,59.66%,9967,296
2020-11-21,0,19,0,7,4,0,5,35,0.00,6.83%,82.60%,59.66%,9967,296
2020-12-31,0,19,0,7,4,0,5,35,0.00,6.85%,82.42%,59.79%,10032,297
2021-03-05,0,19,0,8,4,0,5,36,0.00,7.08%,82.74%,60.11%,10221,308
2021-04-07,0,19,0,8,4,0,5,36,0.00,7.08%,82.74%,60.11%,10221,308
2021-05-12,0,19,0,8,4,0,5,36,0.00,7.08%,82.74%,60.16%,10343,310
2021-06-10,0,18,0,10,5,0,6,39,0.00,18.81%,71.94%,59.80%,15246,437
2021-07-14,0,18,0,10,5,0,6,39,0.00,18.24%,72.96%,60.09%,15945,444
2021-09-14,0,18,0,10,5,0,6,39,0.00,18.24%,72.96%,60.36%,15945,444
2021-10-14,0,18,0,10,5,0,6,39,0.00,18.22%,73.04%,60.36%,15993,446
2021-12-14,0,21,0,10,6,10,7,54,0.00,18.20%,73.11%,60.61%,17189,473
2022-01-13,0,19,0,10,6,0,7,42,0.00,19.95%,70.94%,62.37%,17814,494
2022-02-14,0,19,0,9,6,0,7,41,0.00,21.12%,70.33%,52.83%,18778,514
2022-03-15,0,18,0,9,6,0,7,40,0.00,21.31%,70.03%,41.41%,19281,529
2022-04-24,0,18,0,9,6,0,7,40,0.00,21.31%,70.03%,41.42%,19281,529
2022-05-28,0,18,0,9,6,0,7,40,0.00,21.33%,70.08%,48.94%,19477,532
2022-07-20,0,18,0,9,6,0,7,40,0.00,21.30%,70.15%,49.00%,19589,533
2022-09-21,0,20,0,9,7,11,6,53,0.00,21.30%,70.15%,49.00%,20712,556
2022-11-17,0,18,0,9,6,0,7,40,0.00,21.30%,70.15%,49.01%,19589,533
2023-01-18,0,18,0,9,6,0,7,40,0.00,21.98%,69.17%,49.09%,19659,533
2023-03-26,0,18,0,9,6,0,7,40,0.00,21.98%,69.17%,49.09%,19659,533
2023-05-11,0,18,0,9,6,0,7,40,0.00,21.98%,69.17%,49.09%,19659,533
