date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2020-02-09,0,2,0,1,1,0,0,4,,,,4.46%,1250,51
2020-03-19,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2020-05-06,0,2,0,1,1,0,1,5,,,,4.46%,1280,54
2020-07-04,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2020-09-25,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2020-11-21,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2020-12-31,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2021-03-05,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2021-04-07,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2021-05-12,0,2,0,1,1,0,0,4,,,,4.46%,1280,54
2021-06-10,0,3,0,0,1,0,0,4,,,,18.96%,3535,102
2021-07-14,0,3,0,0,1,0,0,4,,,,19.04%,3788,104
2021-09-14,0,3,0,0,1,0,0,4,,,,19.04%,3788,104
2021-10-14,0,3,0,0,1,0,0,4,,,,19.04%,3788,104
2021-12-14,0,3,0,0,1,1,0,5,,,,19.04%,3788,104
2022-01-13,0,3,0,0,1,0,0,4,,,,20.64%,3422,110
2022-02-14,0,3,0,0,1,0,0,4,,,,15.10%,3986,122
2022-03-15,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2022-04-24,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2022-05-28,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2022-07-20,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2022-09-21,0,2,0,0,1,1,1,5,,,,14.55%,4104,124
2022-11-17,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2023-01-18,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2023-03-26,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
2023-05-11,0,2,0,0,1,0,0,3,,,,14.55%,4104,124
