date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-05,0,2,0,1,0,0,0,3,,,,84.70%,348,24
2019-09-06,0,2,0,1,0,0,0,3,,,,84.70%,348,24
2019-12-04,0,2,0,1,0,0,1,4,,,,84.97%,371,24
2020-01-10,0,2,0,1,0,0,0,3,,,,84.97%,371,24
2020-02-09,0,2,0,1,1,0,0,4,,,,72.81%,1105,41
2020-03-19,0,2,0,1,1,0,1,5,,,,73.20%,1192,41
2020-05-06,0,2,0,1,1,0,0,4,,,,73.20%,1192,41
2020-07-04,0,2,0,1,1,0,1,5,,,,73.20%,1192,41
2020-09-25,0,2,0,1,1,0,1,5,,,,73.20%,1192,41
2020-11-21,0,2,0,1,1,0,1,5,,,,73.20%,1192,41
2020-12-31,0,2,0,1,1,0,1,5,,,,73.63%,1212,41
2021-03-05,0,2,0,1,1,0,1,5,,,,73.69%,1222,41
2021-04-07,0,2,0,1,1,0,1,5,,,,73.69%,1222,41
2021-05-12,0,2,0,1,1,0,1,5,,,,73.84%,1228,41
2021-06-10,0,2,0,1,1,0,1,5,,,,83.71%,1407,51
2021-07-14,0,2,0,1,1,0,1,5,,,,83.71%,1407,51
2021-09-14,0,2,0,1,1,0,1,5,,,,75.18%,1407,51
2021-10-14,0,2,0,1,1,0,1,5,,,,75.11%,1403,51
2021-12-14,0,2,0,1,1,0,1,5,,,,75.11%,1403,51
2022-01-13,0,2,0,1,1,0,1,5,,,,70.92%,1650,62
2022-02-14,0,2,0,1,1,0,1,5,,,,70.92%,1650,62
2022-03-15,0,2,0,1,1,0,1,5,,,,26.75%,1746,66
2022-04-24,0,2,0,1,1,0,1,5,,,,26.76%,1746,66
2022-05-28,0,2,0,1,1,0,1,5,,,,59.75%,1814,66
2022-07-20,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
2022-09-21,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
2022-11-17,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
2023-01-18,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
2023-03-26,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
2023-05-11,0,2,0,1,1,0,1,5,,,,59.77%,1814,66
