date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-21,0,0,0,1,0,1,0,2,,,,91.33%,585,24
2018-10-29,0,2,0,1,1,1,1,6,,,,95.97%,880,31
2018-11-28,0,2,0,1,1,0,0,4,,,,96.18%,880,31
2019-05-05,0,2,0,1,1,0,0,4,,,,95.60%,896,31
2019-06-05,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2019-09-06,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2019-12-04,0,1,0,1,0,1,0,3,,,,94.59%,942,28
2020-01-10,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-02-09,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-03-19,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-05-06,0,1,0,1,0,1,0,3,,,,94.59%,942,28
2020-07-04,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-09-25,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-11-21,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2020-12-31,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2021-03-05,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2021-04-07,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2021-05-12,0,2,0,1,0,0,0,3,,,,94.59%,942,28
2021-06-10,0,2,0,1,0,0,0,3,,,,94.56%,1152,28
2021-07-14,0,2,0,1,0,0,0,3,,,,94.82%,1182,28
2021-09-14,0,2,0,1,0,0,0,3,,,,94.82%,1182,28
2021-10-14,0,2,0,1,0,0,0,3,,,,94.82%,1182,28
2021-12-14,0,3,0,1,0,1,1,6,,,,94.82%,1182,28
2022-01-13,0,2,0,1,1,0,1,5,,,,95.13%,2618,42
2022-02-14,0,2,0,1,1,0,1,5,,,,95.13%,2628,42
2022-03-15,0,2,0,1,1,0,1,5,,,,95.23%,2933,46
2022-04-24,0,2,0,1,1,0,1,5,,,,95.23%,2933,46
2022-05-28,0,2,0,1,1,0,1,5,,,,94.20%,3013,47
2022-07-20,0,2,0,1,1,0,1,5,,,,94.20%,3077,47
2022-09-21,0,3,0,1,1,2,0,7,,,,94.20%,3077,47
2022-11-17,0,2,0,1,1,0,1,5,,,,94.20%,3077,47
2023-01-18,0,2,0,1,1,0,1,5,,,,93.92%,3133,47
2023-03-26,0,2,0,1,1,0,1,5,,,,93.92%,3133,47
2023-05-11,0,2,0,1,1,0,1,5,,,,93.92%,3133,47
