date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-21,0,0,0,1,0,0,0,1,,,,62.57%,477,16
2018-10-29,0,2,0,1,1,1,0,5,,,,76.73%,1932,60
2018-11-28,0,2,0,1,1,0,1,5,,,,76.84%,1942,61
2019-05-05,0,2,0,1,1,0,1,5,,,,35.73%,2151,61
2019-06-05,0,2,0,0,1,0,1,4,,,,84.34%,1808,40
2019-09-06,0,2,0,0,1,0,1,4,,,,84.34%,1808,40
2019-12-04,0,2,0,0,1,1,0,4,,,,84.77%,2121,51
2020-01-10,0,2,0,0,1,0,0,3,,,,84.77%,2121,51
2020-02-09,0,2,0,0,1,0,1,4,,,,85.75%,2197,55
2020-03-19,0,2,0,0,1,0,1,4,,,,85.75%,2197,55
2020-05-06,0,2,0,0,1,1,1,5,,,,85.75%,2197,55
2020-07-04,0,2,0,0,1,0,1,4,,,,85.75%,2197,55
2020-09-25,0,2,0,0,1,0,1,4,,,,85.75%,2197,55
2020-11-21,0,2,0,0,1,0,1,4,,,,85.75%,2197,55
2020-12-31,0,2,0,0,1,0,1,4,,,,85.87%,2242,56
2021-03-05,0,2,0,0,1,0,1,4,,,,86.13%,2292,59
2021-04-07,0,2,0,0,1,0,1,4,,,,86.13%,2292,59
2021-05-12,0,2,0,0,1,0,1,4,,,,86.13%,2408,61
2021-06-10,0,2,0,1,1,0,1,5,,,,85.79%,3193,86
2021-07-14,0,2,0,1,1,0,1,5,,,,85.02%,3388,90
2021-09-14,0,2,0,1,1,0,1,5,,,,85.02%,3388,90
2021-10-14,0,2,0,1,1,0,1,5,,,,85.01%,3440,92
2021-12-14,0,2,0,1,1,3,1,8,,,,85.01%,3513,96
2022-01-13,0,2,0,1,1,0,1,5,,,,86.78%,3695,96
2022-02-14,0,2,0,1,1,0,1,5,,,,87.08%,3695,96
2022-03-15,0,2,0,1,1,0,1,5,,,,86.86%,3892,101
2022-04-24,0,2,0,1,1,0,1,5,,,,86.86%,3892,101
2022-05-28,0,2,0,1,1,0,1,5,,,,87.16%,3956,104
2022-07-20,0,2,0,1,1,0,1,5,,,,87.24%,3996,105
2022-09-21,0,2,0,1,1,3,1,8,,,,87.24%,3996,105
2022-11-17,0,2,0,1,1,0,1,5,,,,87.24%,3996,105
2023-01-18,0,2,0,1,1,0,1,5,,,,87.29%,4010,105
2023-03-26,0,2,0,1,1,0,1,5,,,,87.29%,4010,105
2023-05-11,0,2,0,1,1,0,1,5,,,,87.29%,4010,105
