date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-08-21,0,0,0,0,0,0,0,0,,,,,28,1
2018-10-29,0,1,0,1,0,1,1,4,,,,,139,11
2018-11-28,0,1,0,1,0,0,1,3,,,,,146,11
2019-05-05,0,1,0,1,0,0,1,3,,,,,149,11
2019-06-05,0,2,0,1,0,0,1,4,,,,,149,11
2019-09-06,0,2,0,1,0,0,1,4,,,,,149,11
2019-12-04,0,2,0,1,0,1,1,5,,,,,149,11
2020-01-10,0,2,0,1,0,0,1,4,,,,,149,11
2020-02-09,0,3,0,1,0,0,1,5,,,,,149,11
2020-03-19,0,3,0,1,0,0,1,5,,,,,149,11
2020-05-06,0,2,0,1,0,1,1,5,,,,,149,11
2020-07-04,0,3,0,1,0,0,1,5,,,,,149,11
2020-09-25,0,3,0,1,0,0,1,5,,,,,149,11
2020-11-21,0,3,0,1,0,0,1,5,,,,,149,11
2020-12-31,0,3,0,1,0,0,1,5,,,,,149,11
2021-03-05,0,3,0,1,0,0,1,5,,,,,149,11
2021-04-07,0,3,0,1,0,0,1,5,,,,,149,11
2021-05-12,0,3,0,1,0,0,1,5,,,,,149,11
2021-06-10,0,2,0,1,0,0,1,4,,,,,166,11
2021-07-14,0,2,0,1,0,0,1,4,,,,,166,11
2021-09-14,0,2,0,1,0,0,1,4,,,,,166,11
2021-10-14,0,2,0,1,0,0,1,4,,,,,166,11
2021-12-14,0,2,0,1,0,1,1,5,,,,,166,11
2022-01-13,0,2,0,1,0,0,1,4,,,,,226,14
2022-02-14,0,2,0,1,0,0,1,4,,,,,241,16
2022-03-15,0,2,0,1,0,0,1,4,,,,,241,16
2022-04-24,0,2,0,1,0,0,1,4,,,,,241,16
2022-05-28,0,2,0,1,0,0,1,4,,,,,250,16
2022-07-20,0,2,0,1,0,0,1,4,,,,,250,16
2022-09-21,0,2,0,1,0,1,1,5,,,,,250,16
2022-11-17,0,2,0,1,0,0,1,4,,,,,250,16
2023-01-18,0,2,0,1,0,0,1,4,,,,,250,16
2023-03-26,0,2,0,1,0,0,1,4,,,,,250,16
2023-05-11,0,2,0,1,0,0,1,4,,,,,250,16
