date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-04,0,17,1,4,0,12,4,38,7.27,35.14%,27.50%,NaN%,7761,60
2019-06-02,0,21,1,6,0,6,5,39,7.00,22.32%,30.38%,0.00%,6528,101
2019-07-04,0,30,1,3,0,10,5,49,7.86,20.74%,49.79%,12.36%,9425,122
2019-08-05,0,30,1,4,0,11,6,52,8.00,21.18%,52.06%,12.63%,9903,123
2019-09-05,0,30,1,4,0,11,6,52,8.00,21.18%,52.06%,12.77%,9954,123
2019-10-06,0,30,1,3,0,11,6,51,7.86,20.98%,52.02%,12.70%,10335,127
2019-11-04,0,29,1,3,0,10,6,49,8.29,20.67%,53.24%,13.97%,10503,130
2019-12-04,0,29,1,4,0,10,6,50,8.29,20.48%,55.33%,14.53%,10737,131
2020-01-06,0,29,1,4,0,10,6,50,8.29,20.48%,55.33%,14.54%,10789,131
2020-02-12,0,29,1,4,0,11,6,51,8.29,20.48%,55.33%,14.56%,10980,131
2020-03-22,0,32,1,4,0,13,7,57,8.71,22.41%,48.60%,14.93%,12410,141
2020-04-26,0,32,1,4,0,13,7,57,8.71,22.41%,48.60%,14.89%,12472,141
2020-05-26,0,32,1,5,0,13,8,59,8.86,22.01%,48.35%,16.30%,13065,146
2020-07-05,0,32,1,4,0,13,8,58,8.86,21.88%,48.11%,16.22%,13204,147
2020-08-19,0,27,1,4,0,13,7,52,9.00,21.98%,48.11%,16.29%,13270,147
2020-09-22,0,27,1,4,0,13,7,52,9.14,21.98%,48.11%,16.29%,13322,147
2021-01-28,0,27,1,4,0,13,8,53,9.14,22.09%,48.11%,16.33%,13420,147
2021-04-06,0,30,1,5,0,14,9,59,9.43,22.01%,47.62%,16.28%,13759,149
2021-05-23,0,30,1,5,0,14,9,59,9.43,22.01%,47.62%,16.32%,13801,149
2021-06-21,0,30,1,5,0,13,9,58,9.43,22.02%,47.60%,17.48%,13973,149
2021-10-13,0,30,1,5,0,12,9,57,9.43,21.80%,47.61%,17.42%,14208,150
2021-11-18,0,30,1,5,0,12,9,57,9.43,21.80%,47.61%,17.43%,14223,150
2022-03-08,0,30,1,5,0,12,9,57,9.43,21.80%,47.61%,17.44%,14218,150
2022-04-15,0,30,1,5,0,12,9,57,9.43,21.80%,47.61%,17.48%,14298,150
2022-05-24,0,30,1,5,0,12,9,57,9.43,21.80%,47.61%,17.47%,14304,150
2022-06-23,0,30,1,4,0,12,9,56,9.43,21.80%,47.61%,17.36%,14486,150
2022-08-30,0,30,1,4,0,12,9,56,9.43,21.80%,47.61%,17.38%,14479,150
2023-01-15,0,30,1,4,0,12,9,56,9.57,21.80%,47.61%,17.38%,14499,150
2023-02-21,0,30,1,4,0,13,8,56,9.57,21.81%,47.61%,17.29%,14606,150
2023-03-29,0,30,1,4,0,13,8,56,9.57,21.81%,47.61%,17.29%,14606,150
