date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-04,0,1,0,0,0,3,0,4,,,,,865,2
2019-06-02,0,4,0,0,0,0,0,4,,,,0.00%,741,3
2019-07-04,0,4,0,0,0,1,0,5,,,,30.22%,2089,9
2019-08-05,0,4,0,0,0,1,0,5,,,,30.22%,2183,9
2019-09-05,0,4,0,0,0,1,0,5,,,,33.40%,2191,9
2019-10-06,0,4,0,0,0,1,0,5,,,,32.10%,2384,9
2019-11-04,0,4,0,0,0,1,0,5,,,,32.10%,2419,9
2019-12-04,0,4,0,0,0,1,0,5,,,,32.36%,2491,9
2020-01-06,0,4,0,0,0,1,0,5,,,,32.36%,2502,9
2020-02-12,0,4,0,0,0,1,0,5,,,,32.36%,2555,9
2020-03-22,0,4,0,0,0,2,1,7,,,,32.67%,3170,10
2020-04-26,0,4,0,0,0,2,1,7,,,,32.67%,3201,10
2020-05-26,0,4,0,0,0,2,1,7,,,,32.67%,3259,10
2020-07-05,0,4,0,0,0,2,1,7,,,,32.73%,3312,10
2020-08-19,0,3,0,0,0,2,1,6,,,,31.93%,3360,10
2020-09-22,0,3,0,0,0,2,1,6,,,,31.93%,3394,10
2021-01-28,0,3,0,0,0,2,1,6,,,,31.93%,3404,10
2021-04-06,0,3,0,0,0,2,1,6,,,,31.04%,3645,10
2021-05-23,0,3,0,0,0,2,1,6,,,,31.04%,3669,10
2021-06-21,0,3,0,0,0,1,1,5,,,,38.99%,3735,10
2021-10-13,0,3,0,0,0,1,1,5,,,,39.17%,3875,10
2021-11-18,0,3,0,0,0,1,1,5,,,,39.17%,3898,10
2022-03-08,0,3,0,0,0,1,1,5,,,,39.17%,3898,10
2022-04-15,0,3,0,0,0,1,1,5,,,,39.17%,3902,10
2022-05-24,0,3,0,0,0,1,1,5,,,,39.17%,3902,10
2022-06-23,0,3,0,0,0,1,1,5,,,,39.20%,4019,10
2022-08-30,0,3,0,0,0,1,1,5,,,,39.20%,4019,10
2023-01-15,0,3,0,0,0,1,1,5,,,,39.20%,4019,10
2023-02-21,0,3,0,0,0,1,1,5,,,,39.20%,4050,10
2023-03-29,0,3,0,0,0,1,1,5,,,,39.20%,4050,10
