date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-02,0,2,0,0,0,2,1,5,,,,0.00%,1207,4
2019-07-04,0,4,0,0,0,2,1,7,,,,18.28%,2210,9
2019-08-05,0,4,0,0,0,2,1,7,,,,18.34%,2248,9
2019-09-05,0,4,0,0,0,2,1,7,,,,18.31%,2258,9
2019-10-06,0,4,0,0,0,2,1,7,,,,18.35%,2299,9
2019-11-04,0,4,0,0,0,2,1,7,,,,18.53%,2312,9
2019-12-04,0,4,0,0,0,2,1,7,,,,18.51%,2315,9
2020-01-06,0,4,0,0,0,2,1,7,,,,18.17%,2356,9
2020-02-12,0,4,0,0,0,2,1,7,,,,18.24%,2362,9
2020-03-22,0,4,0,0,0,2,1,7,,,,18.18%,2434,9
2020-04-26,0,4,0,0,0,2,1,7,,,,17.97%,2458,9
2020-05-26,0,4,0,1,0,2,1,8,,,,21.45%,2588,11
2020-07-05,0,4,0,1,0,2,1,8,,,,21.53%,2584,11
2020-08-19,0,2,0,1,0,2,1,6,,,,21.53%,2584,11
2020-09-22,0,2,0,1,0,2,1,6,,,,20.45%,2513,11
2021-01-28,0,2,0,1,0,2,1,6,,,,20.27%,2527,11
2021-04-06,0,2,0,1,0,2,1,6,,,,20.18%,2544,11
2021-05-23,0,2,0,1,0,2,1,6,,,,20.37%,2561,11
2021-06-21,0,2,0,1,0,2,1,6,,,,20.37%,2563,11
2021-10-13,0,2,0,1,0,2,1,6,,,,20.48%,2562,11
2021-11-18,0,2,0,1,0,2,1,6,,,,20.68%,2544,11
2022-03-08,0,2,0,1,0,2,1,6,,,,20.70%,2539,11
2022-04-15,0,2,0,1,0,2,1,6,,,,20.77%,2532,11
2022-05-24,0,2,0,1,0,2,1,6,,,,20.77%,2532,11
2022-06-23,0,2,0,1,0,2,1,6,,,,20.65%,2547,11
2022-08-30,0,2,0,1,0,2,1,6,,,,20.65%,2547,11
2023-01-15,0,2,0,1,0,2,1,6,,,,20.64%,2547,11
2023-02-21,0,2,0,1,0,2,1,6,,,,20.59%,2550,11
2023-03-29,0,2,0,1,0,2,1,6,,,,20.59%,2550,11
