date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-04,0,3,0,1,0,0,1,5,,,,,971,17
2019-06-02,0,4,0,1,0,0,1,6,,,,0.00%,847,17
2019-07-04,0,4,0,0,0,0,1,5,,,,43.02%,779,16
2019-08-05,0,4,0,0,0,0,1,5,,,,43.25%,795,16
2019-09-05,0,4,0,0,0,0,1,5,,,,43.25%,795,16
2019-10-06,0,4,0,0,0,0,1,5,,,,43.00%,803,16
2019-11-04,0,4,0,0,0,0,1,5,,,,42.54%,811,16
2019-12-04,0,4,0,0,0,0,1,5,,,,42.54%,811,16
2020-01-06,0,4,0,0,0,0,1,5,,,,42.54%,811,16
2020-02-12,0,4,0,0,0,0,1,5,,,,42.76%,819,16
2020-03-22,0,4,0,0,0,0,1,5,,,,45.41%,841,17
2020-04-26,0,4,0,0,0,0,1,5,,,,45.13%,848,17
2020-05-26,0,4,0,0,0,0,1,5,,,,51.14%,1022,18
2020-07-05,0,4,0,0,0,0,1,5,,,,50.78%,1024,18
2020-08-19,0,3,0,0,0,0,1,4,,,,50.61%,1027,18
2020-09-22,0,3,0,0,0,0,1,4,,,,50.61%,1027,18
2021-01-28,0,3,0,0,0,0,1,4,,,,50.61%,1027,18
2021-04-06,0,3,0,1,0,0,1,5,,,,50.21%,1043,20
2021-05-23,0,3,0,1,0,0,1,5,,,,50.21%,1043,20
2021-06-21,0,3,0,1,0,0,1,5,,,,50.98%,1043,20
2021-10-13,0,3,0,1,0,0,1,5,,,,50.98%,1043,20
2021-11-18,0,3,0,1,0,0,1,5,,,,48.87%,1059,20
2022-03-08,0,3,0,1,0,0,1,5,,,,48.87%,1059,20
2022-04-15,0,3,0,1,0,0,1,5,,,,48.99%,1056,20
2022-05-24,0,3,0,1,0,0,1,5,,,,48.99%,1056,20
2022-06-23,0,3,0,1,0,0,1,5,,,,49.64%,1061,20
2022-08-30,0,3,0,1,0,0,1,5,,,,49.64%,1061,20
2023-01-15,0,3,0,1,0,0,1,5,,,,49.52%,1062,20
2023-02-21,0,3,0,1,0,0,1,5,,,,49.52%,1062,20
2023-03-29,0,3,0,1,0,0,1,5,,,,49.52%,1062,20
