date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-02,0,0,0,1,0,0,0,1,,,,0.00%,80,6
2019-07-04,0,0,0,0,0,0,0,0,,,,66.88%,64,5
2019-08-05,0,0,0,1,0,0,0,1,,,,64.53%,80,6
2019-09-05,0,0,0,1,0,0,0,1,,,,64.53%,80,6
2019-10-06,0,0,0,1,0,0,0,1,,,,64.53%,80,6
2019-11-04,0,0,0,1,0,0,0,1,,,,72.03%,94,7
2019-12-04,0,0,0,1,0,0,0,1,,,,72.03%,94,7
2020-01-06,0,0,0,1,0,0,0,1,,,,72.82%,94,7
2020-02-12,0,0,0,1,0,0,0,1,,,,72.82%,94,7
2020-03-22,0,0,0,1,0,0,0,1,,,,72.82%,94,7
2020-04-26,0,0,0,1,0,0,0,1,,,,72.82%,94,7
2020-05-26,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2020-07-05,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2020-08-19,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2020-09-22,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2021-01-28,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2021-04-06,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2021-05-23,0,0,0,1,0,0,0,1,,,,72.82%,202,7
2021-06-21,0,0,0,1,0,0,0,1,,,,75.58%,209,7
2021-10-13,0,0,0,1,0,0,0,1,,,,75.58%,209,7
2021-11-18,0,0,0,1,0,0,0,1,,,,75.58%,209,7
2022-03-08,0,0,0,1,0,0,0,1,,,,75.58%,209,7
2022-04-15,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2022-05-24,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2022-06-23,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2022-08-30,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2023-01-15,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2023-02-21,0,0,0,1,0,0,0,1,,,,76.18%,212,7
2023-03-29,0,0,0,1,0,0,0,1,,,,76.18%,212,7
