date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-02,0,0,0,1,0,2,0,3,,,,0.00%,723,16
2019-07-04,0,0,0,1,0,4,0,5,,,,0.00%,727,16
2019-08-05,0,0,0,1,0,5,0,6,,,,0.00%,790,16
2019-09-05,0,0,0,1,0,5,0,6,,,,0.00%,792,16
2019-10-06,0,0,0,0,0,5,0,5,,,,0.00%,873,20
2019-11-04,0,0,0,0,0,4,0,4,,,,0.00%,879,20
2019-12-04,0,0,0,0,0,4,0,4,,,,0.00%,880,20
2020-01-06,0,0,0,0,0,4,0,4,,,,0.00%,880,20
2020-02-12,0,0,0,0,0,4,0,4,,,,0.00%,881,20
2020-03-22,0,3,0,0,0,4,0,7,,,,0.00%,1108,24
2020-04-26,0,3,0,0,0,4,0,7,,,,0.00%,1108,24
2020-05-26,0,3,0,0,0,4,0,7,,,,0.00%,1120,24
2020-07-05,0,3,0,0,0,4,0,7,,,,0.00%,1127,24
2020-08-19,0,3,0,0,0,4,0,7,,,,0.00%,1130,24
2020-09-22,0,3,0,0,0,4,0,7,,,,0.00%,1161,24
2021-01-28,0,3,0,0,0,4,0,7,,,,0.00%,1161,24
2021-04-06,0,3,0,0,0,5,0,8,,,,0.00%,1169,24
2021-05-23,0,3,0,0,0,5,0,8,,,,0.00%,1172,24
2021-06-21,0,3,0,0,0,5,0,8,,,,4.18%,1181,24
2021-10-13,0,3,0,0,0,5,0,8,,,,4.12%,1189,24
2021-11-18,0,3,0,0,0,5,0,8,,,,4.13%,1183,24
2022-03-08,0,3,0,0,0,5,0,8,,,,4.13%,1183,24
2022-04-15,0,3,0,0,0,5,0,8,,,,4.10%,1190,24
2022-05-24,0,3,0,0,0,5,0,8,,,,4.10%,1190,24
2022-06-23,0,3,0,0,0,5,0,8,,,,4.06%,1208,24
2022-08-30,0,3,0,0,0,5,0,8,,,,4.06%,1208,24
2023-01-15,0,3,0,0,0,5,0,8,,,,4.05%,1211,24
2023-02-21,0,3,0,0,0,5,0,8,,,,4.02%,1218,24
2023-03-29,0,3,0,0,0,5,0,8,,,,4.02%,1218,24
