date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-09-05,0,4,0,0,0,0,1,5,,,,,112,4
2019-10-06,0,4,0,0,0,0,1,5,,,,,110,4
2019-11-04,0,3,0,0,0,0,1,4,,,,,133,5
2019-12-04,0,3,0,1,0,0,1,5,,,,,156,6
2020-01-06,0,3,0,1,0,0,1,5,,,,,156,6
2020-02-12,0,3,0,1,0,0,1,5,,,,,158,6
2020-03-22,0,3,0,1,0,1,1,6,,,,,243,6
2020-04-26,0,3,0,1,0,1,1,6,,,,,243,6
2020-05-26,0,3,0,1,0,1,1,6,,,,,259,6
2020-07-05,0,3,0,1,0,1,1,6,,,,,259,6
2020-08-19,0,4,0,1,0,1,1,7,,,,,259,6
2020-09-22,0,4,0,1,0,1,1,7,,,,,259,6
2021-01-28,0,4,0,1,0,1,1,7,,,,,259,6
2021-04-06,0,4,0,1,0,1,1,7,,,,,264,6
2021-05-23,0,4,0,1,0,1,1,7,,,,,264,6
2021-06-21,0,4,0,1,0,1,1,7,,,,,264,6
2021-10-13,0,4,0,1,0,1,1,7,,,,,280,6
2021-11-18,0,4,0,1,0,1,1,7,,,,,280,6
2022-03-08,0,4,0,1,0,1,1,7,,,,,280,6
2022-04-15,0,4,0,1,0,1,1,7,,,,,280,6
2022-05-24,0,4,0,1,0,1,1,7,,,,,280,6
2022-06-23,0,4,0,1,0,1,1,7,,,,,299,6
2022-08-30,0,4,0,1,0,1,1,7,,,,,299,6
2023-01-15,0,4,0,1,0,1,1,7,,,,,299,6
2023-02-21,0,4,0,1,0,1,1,7,,,,,299,6
2023-03-29,0,4,0,1,0,1,1,7,,,,,299,6
