date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-05-04,0,2,0,0,0,2,1,5,,,,,1393,5
2019-06-02,0,2,0,1,0,0,1,4,,,,0.00%,835,7
2019-07-04,0,3,0,0,0,0,1,4,,,,28.40%,1317,16
2019-08-05,0,3,0,0,0,0,1,4,,,,28.67%,1332,16
2019-09-05,0,3,0,0,0,0,1,4,,,,28.67%,1337,16
2019-10-06,0,3,0,0,0,0,1,4,,,,28.80%,1346,16
2019-11-04,0,3,0,0,0,0,1,4,,,,30.48%,1366,16
2019-12-04,0,3,0,0,0,0,1,4,,,,34.90%,1501,16
2020-01-06,0,3,0,0,0,0,1,4,,,,34.90%,1501,16
2020-02-12,0,3,0,0,0,0,1,4,,,,34.90%,1501,16
2020-03-22,0,3,0,0,0,0,1,4,,,,39.08%,1699,16
2020-04-26,0,3,0,0,0,0,1,4,,,,39.08%,1699,16
2020-05-26,0,3,0,0,0,0,1,4,,,,41.81%,1794,18
2020-07-05,0,3,0,0,0,0,1,4,,,,40.38%,1859,18
2020-08-19,0,2,0,0,0,0,1,3,,,,41.08%,1871,18
2020-09-22,0,2,0,0,0,0,1,3,,,,43.08%,1882,18
2021-01-28,0,2,0,0,0,0,1,3,,,,43.08%,1886,18
2021-04-06,0,2,0,0,0,0,1,3,,,,41.64%,1933,18
2021-05-23,0,2,0,0,0,0,1,3,,,,41.79%,1931,18
2021-06-21,0,2,0,0,0,0,1,3,,,,41.79%,1932,18
2021-10-13,0,2,0,0,0,0,1,3,,,,41.62%,1955,19
2021-11-18,0,2,0,0,0,0,1,3,,,,41.62%,1955,19
2022-03-08,0,2,0,0,0,0,1,3,,,,41.62%,1955,19
2022-04-15,0,2,0,0,0,0,1,3,,,,41.68%,1967,19
2022-05-24,0,2,0,0,0,0,1,3,,,,41.68%,1967,19
2022-06-23,0,2,0,0,0,0,1,3,,,,39.91%,1977,19
2022-08-30,0,2,0,0,0,0,1,3,,,,40.37%,1970,19
2023-01-15,0,2,0,0,0,0,1,3,,,,40.42%,1970,19
2023-02-21,0,2,0,0,0,0,1,3,,,,40.09%,1977,19
2023-03-29,0,2,0,0,0,0,1,3,,,,40.09%,1977,19
